Dia ,Fecha ,Casos acumulados,Defunciones,Casos diarios 
1,20200122,1,0,0
2,20200123,1,0,0
3,20200124,1,0,0
4,20200125,1,0,0
5,20200126,1,0,0
6,20200127,1,0,0
7,20200128,1,0,0
8,20200129,1,0,0
9,20200130,1,0,0
10,20200131,1,0,0
11,20200201,1,0,0
12,20200202,1,0,0
13,20200203,1,0,0
14,20200204,1,0,0
15,20200205,1,0,0
16,20200206,1,0,0
17,20200207,2,0,1
18,20200208,2,0,0
19,20200209,2,0,0
20,20200210,2,0,0
21,20200211,2,0,0
22,20200212,2,0,0
23,20200213,2,0,0
24,20200214,2,0,0
25,20200215,2,0,0
26,20200216,2,0,0
27,20200217,2,0,0
28,20200218,2,0,0
29,20200219,2,0,0
30,20200220,2,0,0
31,20200221,2,0,0
32,20200222,2,0,0
33,20200223,2,0,0
34,20200224,2,0,0
35,20200225,2,0,0
36,20200226,2,2,0
37,20200227,2,2,0
38,20200228,9,4,7
39,20200229,24,5,15
40,20200301,112,8,88
41,20200302,193,11,81
42,20200303,294,14,101
43,20200304,494,16,200
44,20200305,634,20,140
45,20200306,971,26,337
46,20200307,1306,27,335
47,20200308,1511,31,205
48,20200309,1999,35,488
49,20200310,2591,37,592
50,20200311,3315,43,724
51,20200312,4264,51,949
52,20200313,5646,55,1382
53,20200314,6930,64,1284
54,20200315,8638,78,1708
55,20200316,10886,100,2248
56,20200317,11629,122,743
57,20200318,14795,152,3166
58,20200319,19455,197,4660
59,20200320,25695,265,6240
60,20200321,32572,325,6877
61,20200322,41816,466,9244
62,20200323,53256,564,11440
63,20200324,63868,789,10612
64,20200325,76706,1022,12838
65,20200326,94335,1333,17629
66,20200327,113359,1729,19024
67,20200328,133037,2241,19678
68,20200329,152622,2760,19585
69,20200330,174509,3333,21887
70,20200331,199180,4194,24671
71,20200401,224891,5183,25711
72,20200402,252871,6336,27980
73,20200403,284723,7593,31852
74,20200404,317919,9025,33196
75,20200405,343390,10302,25471
76,20200406,372226,11548,28836
77,20200407,402788,13502,30562
78,20200408,433230,15445,30442
79,20200409,467612,17422,34382
80,20200410,501806,19471,34194
81,20200411,532409,21467,30603
82,20200412,560263,23099,27854
83,20200413,585487,24665,25224
84,20200414,611087,26949,25600
85,20200415,641311,29435,30224
86,20200416,672124,31577,30813
87,20200417,704103,33658,31979
88,20200418,732065,35488,27962
89,20200419,759452,37223,27387
90,20200420,785263,38979,25811
91,20200421,811541,41405,26278
92,20200422,840413,43465,28872
93,20200423,872162,45226,31749
94,20200424,906311,47085,34149
95,20200425,942312,48797,36001
96,20200426,969699,49976,27387
97,20200427,991715,51195,22016
98,20200428,1016793,53245,25078
99,20200429,1043933,55937,27140
100,20200430,1073514,58051,29581
101,20200501,1106557,59797,33043
102,20200502,1135855,61341,29298
103,20200503,1161624,62551,25769
104,20200504,1183985,63560,22361
105,20200505,1206383,65998,22398
106,20200506,1231333,67928,24950
107,20200507,1258833,70661,27500
108,20200508,1286417,72439,27584
109,20200509,1311125,73879,24708
110,20200510,1332709,74895,21584
111,20200511,1350908,75767,18199
112,20200512,1373495,77242,22587
113,20200513,1394677,78933,21182
114,20200514,1421278,80811,26601
115,20200515,1445877,82309,24599
116,20200516,1470504,83575,24627
117,20200517,1490760,84457,20256
118,20200518,1511675,85316,20915
119,20200519,1532406,86614,20731
120,20200520,1553875,88001,21469
121,20200521,1580365,89404,26490
122,20200522,1604817,90691,24452
123,20200523,1626470,91739,21653
124,20200524,1646571,92417,20101
125,20200525,1665240,92979,18669
126,20200526,1681811,93614,16571
127,20200527,1701111,94885,19300
128,20200528,1723578,96157,22467
129,20200529,1746943,97335,23365
130,20200530,1770655,98272,23712
131,20200531,1792221,98927,21566
132,20200601,1812472,99602,20251
133,20200602,1832412,100571,19940
134,20200603,1852601,101531,20189
135,20200604,1873167,102407,20566
136,20200605,1896157,103255,22990
137,20200606,1918512,103972,22355
138,20200607,1937819,104432,19307
139,20200608,1954942,105087,17123
140,20200609,1972108,105989,17166
141,20200610,1992857,106867,20749
142,20200611,2014880,107779,22023
143,20200612,2038198,108554,23318
144,20200613,2063542,109249,25344
145,20200614,2085028,109607,21486
146,20200615,2103549,109982,18521
147,20200616,2127047,110695,23498
148,20200617,2150932,111477,23885
149,20200618,2178338,112174,27406
150,20200619,2209665,112822,31327
151,20200620,2241990,113452,32325
