Dia,Contagios,Contagios por dia,Muertos,Fecha
1,3,3,0,2020-02-28
2,4,1,0,2020-02-29
3,5,1,0,2020-03-01
4,5,0,0,2020-03-02
5,5,0,0,2020-03-03
6,5,0,0,2020-03-04
7,5,0,0,2020-03-05
8,6,1,0,2020-03-06
9,7,1,0,2020-03-07
10,7,0,0,2020-03-08
11,7,0,0,2020-03-09
12,7,0,0,2020-03-10
13,11,4,0,2020-03-11
14,15,4,0,2020-03-12
15,26,11,0,2020-03-13
16,41,15,0,2020-03-14
17,53,12,0,2020-03-15
18,83,30,0,2020-03-16
19,93,10,0,2020-03-17
20,118,25,0,2020-03-18
21,164,46,0,2020-03-19
22,203,39,2,2020-03-20
23,251,48,2,2020-03-21
24,316,65,2,2020-03-22
25,367,51,4,2020-03-23
26,405,38,5,2020-03-24
27,475,70,6,2020-03-25
28,585,110,8,2020-03-26
29,717,132,12,2020-03-27
30,848,131,16,2020-03-28
31,993,145,20,2020-03-29
32,1094,101,28,2020-03-30
33,1215,121,29,2020-03-31
34,1317,102,37,2020-04-01
35,1510,193,50,2020-04-02
36,1688,178,60,2020-04-03
37,1890,202,79,2020-04-04
38,2143,253,94,2020-04-05
39,2439,296,125,2020-04-06
40,2785,346,141,2020-04-07
41,3181,396,174,2020-04-08
42,3441,260,194,2020-04-09
43,3844,403,233,2020-04-10
44,4219,375,274,2020-04-11
45,4661,442,296,2020-04-12
46,5014,353,332,2020-04-13
47,5399,385,406,2020-04-14
48,5847,448,449,2020-04-15
49,6297,450,486,2020-04-16
50,6875,578,546,2020-04-17
51,7497,622,650,2020-04-18
52,8261,764,686,2020-04-19
53,8772,511,712,2020-04-20
54,9501,729,857,2020-04-21
55,10544,1043,970,2020-04-22
56,11633,1089,1069,2020-04-23
57,12872,1239,1221,2020-04-24
58,13842,970,1305,2020-04-25
59,14677,835,1351,2020-04-26
60,15529,852,1434,2020-04-27
61,16752,1223,1569,2020-04-28
62,17779,1027,1732,2020-04-29
63,19224,1445,1859,2020-04-30
64,20739,1515,1972,2020-05-01
65,22088,1349,2061,2020-05-02
66,23471,1383,2154,2020-05-03
67,24905,1434,2271,2020-05-04
68,26025,1120,2507,2020-05-05
69,27634,1609,2704,2020-05-06
70,29616,1982,2961,2020-05-07
71,31522,1906,3160,2020-05-08
72,33460,1938,3353,2020-05-09
73,35022,1562,3465,2020-05-10
74,36327,1305,3573,2020-05-11
75,38324,1997,3926,2020-05-12
76,40186,1862,4220,2020-05-13
77,42596,2410,4477,2020-05-14
78,45032,2436,4767,2020-05-15
79,47144,2112,5045,2020-05-16
80,49219,2075,5177,2020-05-17
81,51633,2414,5332,2020-05-18
82,54346,2713,5666,2020-05-19
83,56594,2248,6090,2020-05-20
84,59567,2973,6510,2020-05-21
85,62527,2960,6989,2020-05-22
86,65856,3329,7189,2020-05-23
87,68620,2764,7394,2020-05-24
88,71105,2485,7633,2020-05-25
89,74560,3455,8134,2020-05-26
90,78023,3463,8597,2020-05-27
91,81400,3377,9044,2020-05-28
92,84627,3227,9415,2020-05-29
93,87512,2885,9779,2020-05-30
94,90664,3152,9930,2020-05-31
95,93435,2771,10167,2020-06-01
96,97326,3891,10637,2020-06-02
97,101238,3912,11729,2020-06-03
98,105680,4442,12545,2020-06-04
99,110026,4346,13170,2020-06-05
100,113619,3593,13511,2020-06-06
101,117103,3484,13699,2020-06-07
102,120102,2999,14053,2020-06-08
103,124301,4199,14649,2020-06-09
104,129184,4883,15357,2020-06-10
105,133974,4790,15944,2020-06-11
106,139196,5222,16448,2020-06-12
107,142690,3494,16872,2020-06-13
108,146837,4147,17141,2020-06-14
109,150256,3419,17580,2020-06-15
110,154863,4607,18310,2020-06-16
111,159793,4930,19080,2020-06-17
112,165455,5662,19747,2020-06-18
113,170485,5030,20394,2020-06-19
114,175202,4717,20781,2020-06-20
115,180545,5343,21825,2020-06-21
